time,energy,datetime,date,year,month,day,hour,minute,runningdate
1641385800,0.13,2022-01-05T12:30:00Z,2022-01-05,2022,1,5,12,30,105
1641387600,0.16,2022-01-05T13:00:00Z,2022-01-05,2022,1,5,13,0,105
1641389400,0.24,2022-01-05T13:30:00Z,2022-01-05,2022,1,5,13,30,105
1641391200,0.22,2022-01-05T14:00:00Z,2022-01-05,2022,1,5,14,0,105
1641393000,0.19,2022-01-05T14:30:00Z,2022-01-05,2022,1,5,14,30,105
1641394800,0.23,2022-01-05T15:00:00Z,2022-01-05,2022,1,5,15,0,105
1641396600,1.04,2022-01-05T15:30:00Z,2022-01-05,2022,1,5,15,30,105
1641398400,0.81,2022-01-05T16:00:00Z,2022-01-05,2022,1,5,16,0,105
1641400200,0.8,2022-01-05T16:30:00Z,2022-01-05,2022,1,5,16,30,105
1641402000,0.4,2022-01-05T17:00:00Z,2022-01-05,2022,1,5,17,0,105
1641403800,0.49,2022-01-05T17:30:00Z,2022-01-05,2022,1,5,17,30,105
1641405600,0.29,2022-01-05T18:00:00Z,2022-01-05,2022,1,5,18,0,105
1641407400,0.21,2022-01-05T18:30:00Z,2022-01-05,2022,1,5,18,30,105
1641409200,0.18,2022-01-05T19:00:00Z,2022-01-05,2022,1,5,19,0,105
1641411000,0.43,2022-01-05T19:30:00Z,2022-01-05,2022,1,5,19,30,105
1641412800,0.32,2022-01-05T20:00:00Z,2022-01-05,2022,1,5,20,0,105
1641414600,0.35,2022-01-05T20:30:00Z,2022-01-05,2022,1,5,20,30,105
1641416400,0.29,2022-01-05T21:00:00Z,2022-01-05,2022,1,5,21,0,105
1641418200,0.26,2022-01-05T21:30:00Z,2022-01-05,2022,1,5,21,30,105
1641420000,0.27,2022-01-05T22:00:00Z,2022-01-05,2022,1,5,22,0,105
1641421800,0.12,2022-01-05T22:30:00Z,2022-01-05,2022,1,5,22,30,105
1641423600,0.14,2022-01-05T23:00:00Z,2022-01-05,2022,1,5,23,0,105
1641425400,0.14,2022-01-05T23:30:00Z,2022-01-05,2022,1,5,23,30,105
1641427200,0.12,2022-01-06T00:00:00Z,2022-01-06,2022,1,6,0,0,106
1641429000,0.11,2022-01-06T00:30:00Z,2022-01-06,2022,1,6,0,30,106
1641430800,0.13,2022-01-06T01:00:00Z,2022-01-06,2022,1,6,1,0,106
1641432600,0.12,2022-01-06T01:30:00Z,2022-01-06,2022,1,6,1,30,106
1641434400,0.14,2022-01-06T02:00:00Z,2022-01-06,2022,1,6,2,0,106
1641436200,0.1,2022-01-06T02:30:00Z,2022-01-06,2022,1,6,2,30,106
1641438000,0.14,2022-01-06T03:00:00Z,2022-01-06,2022,1,6,3,0,106
1641439800,0.11,2022-01-06T03:30:00Z,2022-01-06,2022,1,6,3,30,106
1641441600,0.17,2022-01-06T04:00:00Z,2022-01-06,2022,1,6,4,0,106
1641443400,0.13,2022-01-06T04:30:00Z,2022-01-06,2022,1,6,4,30,106
1641445200,0.15,2022-01-06T05:00:00Z,2022-01-06,2022,1,6,5,0,106
